nominal,data,curs,cdx
1,13.09.2012,31.4780,Доллар США
1,14.09.2012,31.3992,Доллар США
1,15.09.2012,30.8181,Доллар США
1,18.09.2012,30.5867,Доллар США
1,19.09.2012,30.8795,Доллар США
1,20.09.2012,30.8634,Доллар США
1,21.09.2012,31.5758,Доллар США
1,22.09.2012,31.1667,Доллар США
1,25.09.2012,31.2513,Доллар США
1,26.09.2012,31.1608,Доллар США
1,27.09.2012,31.2221,Доллар США
1,28.09.2012,31.1951,Доллар США
1,29.09.2012,30.9169,Доллар США
1,02.10.2012,31.2538,Доллар США
1,03.10.2012,31.1350,Доллар США
1,04.10.2012,31.1944,Доллар США
1,05.10.2012,31.1210,Доллар США
1,06.10.2012,30.9744,Доллар США
1,09.10.2012,31.0777,Доллар США
1,10.10.2012,31.0994,Доллар США
1,11.10.2012,31.2017,Доллар США
1,12.10.2012,31.1667,Доллар США
1,13.10.2012,30.9738,Доллар США
1,16.10.2012,31.0791,Доллар США
1,17.10.2012,30.9493,Доллар США
1,18.10.2012,30.7964,Доллар США
1,19.10.2012,30.7195,Доллар США
1,20.10.2012,30.7823,Доллар США
1,23.10.2012,30.9084,Доллар США
